Start time: 1731108783993
[2024-11-08T18:33:05.029349-0500] nuttcp-r: v8.1.4: socket
[2024-11-08T18:33:05.030459-0500] nuttcp-r: buflen=65536, nstream=1, port=5379 tcp
[2024-11-08T18:33:05.030525-0500] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-08T18:33:05.030565-0500] nuttcp-r: connect to 54.197.223.49 with RTT=71.724 ms af=inet
[2024-11-08T18:33:05.030606-0500] nuttcp-r: send window size = 2097152, receive window size = 6291456
[2024-11-08T18:33:05.030643-0500] nuttcp-r: available send window = 1572864, available receive window = 4718592
[2024-11-08T18:34:27.029363-0500]    16.0000 MB /   0.50 sec =  268.4822 Mbps     0 retrans   8826 KB-cwnd
[2024-11-08T18:34:27.529203-0500]    14.9375 MB /   0.50 sec =  250.6182 Mbps     0 retrans   8826 KB-cwnd
[2024-11-08T18:34:28.029267-0500]    18.6875 MB /   0.50 sec =  313.5123 Mbps     0 retrans   8826 KB-cwnd
[2024-11-08T18:34:28.529430-0500]    21.9375 MB /   0.50 sec =  368.0450 Mbps     0 retrans  10317 KB-cwnd
[2024-11-08T18:34:29.029107-0500]    23.0625 MB /   0.50 sec =  386.9679 Mbps     0 retrans  10317 KB-cwnd
[2024-11-08T18:34:29.529285-0500]    16.5625 MB /   0.50 sec =  277.8210 Mbps     0 retrans  10317 KB-cwnd
[2024-11-08T18:34:30.029288-0500]    28.9375 MB /   0.50 sec =  485.4858 Mbps   172 retrans   6769 KB-cwnd
[2024-11-08T18:34:30.530369-0500]    16.4375 MB /   0.50 sec =  275.2080 Mbps     4 retrans   6769 KB-cwnd
[2024-11-08T18:34:31.029261-0500]    18.5625 MB /   0.50 sec =  312.0593 Mbps    15 retrans   6769 KB-cwnd
[2024-11-08T18:34:31.529679-0500]    11.8750 MB /   0.50 sec =  199.2354 Mbps    26 retrans   6769 KB-cwnd
[2024-11-08T18:34:32.029492-0500]     3.8125 MB /   0.50 sec =   63.9456 Mbps     0 retrans   6769 KB-cwnd
[2024-11-08T18:34:32.530548-0500]     2.6875 MB /   0.50 sec =   45.0062 Mbps     0 retrans   6769 KB-cwnd
[2024-11-08T18:34:33.029189-0500]    12.8750 MB /   0.50 sec =  216.4955 Mbps  2452 retrans   6913 KB-cwnd
[2024-11-08T18:34:33.529340-0500]    21.4375 MB /   0.50 sec =  359.6652 Mbps     0 retrans   6913 KB-cwnd
[2024-11-08T18:34:34.030176-0500]    21.5625 MB /   0.50 sec =  361.0532 Mbps     0 retrans   8700 KB-cwnd
[2024-11-08T18:34:34.529224-0500]    22.4375 MB /   0.50 sec =  377.1713 Mbps     0 retrans   8700 KB-cwnd
[2024-11-08T18:34:35.029300-0500]     0.7500 MB /   0.50 sec =   12.5817 Mbps     0 retrans   8700 KB-cwnd
[2024-11-08T18:34:35.529389-0500]    15.5000 MB /   0.50 sec =  260.0198 Mbps     2 retrans   9033 KB-cwnd
[2024-11-08T18:34:36.029307-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans   9033 KB-cwnd
[2024-11-08T18:34:36.529402-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans   9033 KB-cwnd
[2024-11-08T18:34:37.029407-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans   9033 KB-cwnd
[2024-11-08T18:34:37.529322-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans   9033 KB-cwnd
[2024-11-08T18:34:38.029119-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans   9033 KB-cwnd
[2024-11-08T18:34:38.530149-0500]    10.0000 MB /   0.50 sec =  167.5282 Mbps     0 retrans   9033 KB-cwnd
[2024-11-08T18:34:39.029285-0500]     0.7500 MB /   0.50 sec =   12.6003 Mbps     0 retrans   9033 KB-cwnd
[2024-11-08T18:34:39.529440-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans   9033 KB-cwnd
[2024-11-08T18:34:40.029221-0500]     0.0000 MB /   0.50 sec =    0.0000 Mbps     0 retrans   9033 KB-cwnd
[2024-11-08T18:34:40.529319-0500]     0.5625 MB /   0.50 sec =    9.4367 Mbps     0 retrans   9033 KB-cwnd
