Start time: 1731006709548
[2024-11-07T14:11:50.418083-0500] nuttcp-r: v8.1.4: socket
[2024-11-07T14:11:50.418801-0500] nuttcp-r: buflen=65536, nstream=1, port=5101 tcp
[2024-11-07T14:11:50.418880-0500] nuttcp-r: interval reporting every 0.50 seconds
[2024-11-07T14:11:50.418946-0500] nuttcp-r: connect to 54.197.223.49 with RTT=49.201 ms af=inet
[2024-11-07T14:11:50.419009-0500] nuttcp-r: send window size = 2097152, receive window size = 6291456
[2024-11-07T14:11:50.419069-0500] nuttcp-r: available send window = 1572864, available receive window = 4718592
[2024-11-07T14:13:04.918011-0500]    23.0000 MB /   0.50 sec =  385.8968 Mbps     0 retrans   4856 KB-cwnd
[2024-11-07T14:13:05.417962-0500]    20.3125 MB /   0.50 sec =  340.7906 Mbps     0 retrans   4826 KB-cwnd
[2024-11-07T14:13:05.918005-0500]    24.1250 MB /   0.50 sec =  404.7366 Mbps     0 retrans   4826 KB-cwnd
[2024-11-07T14:13:06.417885-0500]    21.5000 MB /   0.50 sec =  360.7419 Mbps     0 retrans   4735 KB-cwnd
[2024-11-07T14:13:06.917965-0500]    19.5625 MB /   0.50 sec =  328.1879 Mbps     0 retrans   4735 KB-cwnd
[2024-11-07T14:13:07.418011-0500]    15.7500 MB /   0.50 sec =  264.2343 Mbps     0 retrans   4775 KB-cwnd
[2024-11-07T14:13:07.918013-0500]    17.3125 MB /   0.50 sec =  290.4422 Mbps     0 retrans   4775 KB-cwnd
[2024-11-07T14:13:08.418120-0500]    19.1875 MB /   0.50 sec =  321.9309 Mbps     0 retrans   5428 KB-cwnd
[2024-11-07T14:13:08.917997-0500]    15.9375 MB /   0.50 sec =  267.3847 Mbps     0 retrans   5469 KB-cwnd
[2024-11-07T14:13:09.418061-0500]    16.5000 MB /   0.50 sec =  276.7892 Mbps     0 retrans   5469 KB-cwnd
[2024-11-07T14:13:09.917995-0500]    20.1250 MB /   0.50 sec =  337.6935 Mbps     0 retrans   5469 KB-cwnd
[2024-11-07T14:13:10.418086-0500]    19.7500 MB /   0.50 sec =  331.2937 Mbps     0 retrans   5065 KB-cwnd
[2024-11-07T14:13:10.917983-0500]    19.6250 MB /   0.50 sec =  329.2983 Mbps     0 retrans   5065 KB-cwnd
[2024-11-07T14:13:11.417993-0500]    14.6875 MB /   0.50 sec =  246.4090 Mbps     0 retrans   5065 KB-cwnd
[2024-11-07T14:13:11.918095-0500]     8.5625 MB /   0.50 sec =  143.6699 Mbps     0 retrans   5065 KB-cwnd
[2024-11-07T14:13:12.418104-0500]    17.5625 MB /   0.50 sec =  294.5786 Mbps     0 retrans   4195 KB-cwnd
[2024-11-07T14:13:12.917976-0500]    18.9375 MB /   0.50 sec =  317.7745 Mbps     0 retrans   4254 KB-cwnd
[2024-11-07T14:13:13.418000-0500]    15.1875 MB /   0.50 sec =  254.7963 Mbps     0 retrans   4254 KB-cwnd
[2024-11-07T14:13:13.918039-0500]    12.4375 MB /   0.50 sec =  208.6437 Mbps     0 retrans   4254 KB-cwnd
[2024-11-07T14:13:14.417987-0500]    12.6250 MB /   0.50 sec =  211.8412 Mbps     0 retrans   4302 KB-cwnd
[2024-11-07T14:13:14.918065-0500]     9.6250 MB /   0.50 sec =  161.4581 Mbps     0 retrans   4391 KB-cwnd
[2024-11-07T14:13:15.417948-0500]    11.2500 MB /   0.50 sec =  188.7754 Mbps     0 retrans   4391 KB-cwnd
[2024-11-07T14:13:15.918006-0500]     9.8125 MB /   0.50 sec =  164.6245 Mbps     0 retrans   4391 KB-cwnd
[2024-11-07T14:13:16.418236-0500]     9.3125 MB /   0.50 sec =  156.2356 Mbps     0 retrans   4391 KB-cwnd
[2024-11-07T14:13:16.918035-0500]    12.5000 MB /   0.50 sec =  209.7039 Mbps     0 retrans   4391 KB-cwnd
[2024-11-07T14:13:17.417986-0500]    13.7500 MB /   0.50 sec =  230.7015 Mbps     0 retrans   4391 KB-cwnd
[2024-11-07T14:13:17.918008-0500]    15.3750 MB /   0.50 sec =  257.9409 Mbps     0 retrans   4740 KB-cwnd
[2024-11-07T14:13:18.417955-0500]    17.1250 MB /   0.50 sec =  287.3225 Mbps     0 retrans   4840 KB-cwnd
[2024-11-07T14:13:18.917989-0500]    18.5625 MB /   0.50 sec =  311.4252 Mbps     0 retrans   4966 KB-cwnd
[2024-11-07T14:13:19.418027-0500]    19.4375 MB /   0.50 sec =  326.0687 Mbps     0 retrans   5012 KB-cwnd
[2024-11-07T14:13:19.917958-0500]    21.5000 MB /   0.50 sec =  360.7635 Mbps     0 retrans   3907 KB-cwnd
[2024-11-07T14:13:20.418159-0500]    22.5625 MB /   0.50 sec =  378.5140 Mbps     0 retrans   3907 KB-cwnd
[2024-11-07T14:13:20.917993-0500]    24.2500 MB /   0.50 sec =  406.8402 Mbps     0 retrans   3907 KB-cwnd
[2024-11-07T14:13:21.418035-0500]    28.0625 MB /   0.50 sec =  470.7683 Mbps     0 retrans   3431 KB-cwnd
[2024-11-07T14:13:21.917992-0500]    28.8750 MB /   0.50 sec =  484.5003 Mbps     0 retrans   3458 KB-cwnd
[2024-11-07T14:13:22.418061-0500]    30.0000 MB /   0.50 sec =  503.2581 Mbps     0 retrans   3458 KB-cwnd
[2024-11-07T14:13:22.917962-0500]    38.5000 MB /   0.50 sec =  646.0094 Mbps     0 retrans   4746 KB-cwnd
[2024-11-07T14:13:23.418044-0500]    32.6875 MB /   0.50 sec =  548.3647 Mbps     0 retrans   4746 KB-cwnd
[2024-11-07T14:13:23.918104-0500]    29.1250 MB /   0.50 sec =  488.5934 Mbps     0 retrans   5743 KB-cwnd
[2024-11-07T14:13:24.417967-0500]    19.1875 MB /   0.50 sec =  321.9663 Mbps     0 retrans   5743 KB-cwnd
[2024-11-07T14:13:24.918016-0500]    14.9375 MB /   0.50 sec =  250.5971 Mbps     0 retrans   5743 KB-cwnd
[2024-11-07T14:13:25.417998-0500]    16.5625 MB /   0.50 sec =  277.8776 Mbps     0 retrans   6568 KB-cwnd
[2024-11-07T14:13:25.918868-0500]    17.3750 MB /   0.50 sec =  291.2112 Mbps     0 retrans   6568 KB-cwnd
